"category_id","category_name","description","created_at","updated_at"
1,哲学,哲学类专业主要研究人与世界的根本关系，探讨真理、价值等基本问题,"2025-07-10 15:00:00","2025-07-10 15:00:00"
2,经济学,经济学类专业主要研究经济现象和经济关系的发生、发展规律,"2025-07-10 15:00:00","2025-07-10 15:00:00"
3,法学,法学类专业主要研究法律规范、法律现象和法律制度,"2025-07-10 15:00:00","2025-07-10 15:00:00"
4,教育学,教育学类专业主要研究教育规律和教育实践,"2025-07-10 15:00:00","2025-07-10 15:00:00"
5,文学,文学类专业主要研究语言、文学、新闻传播等人文学科,"2025-07-10 15:00:00","2025-07-10 15:00:00"
6,历史学,历史学类专业主要研究人类社会的历史发展规律,"2025-07-10 15:00:00","2025-07-10 15:00:00"
7,理学,理学类专业主要研究自然科学的基本理论和方法,"2025-07-10 15:00:00","2025-07-10 15:00:00"
8,工学,工学类专业主要研究工程技术的理论与应用,"2025-07-10 15:00:00","2025-07-10 15:00:00"
9,农学,农学类专业主要研究农业生产的理论与技术,"2025-07-10 15:00:00","2025-07-10 15:00:00"
10,医学,医学类专业主要研究人体健康与疾病防治,"2025-07-10 15:00:00","2025-07-10 15:00:00"
11,管理学,管理学类专业主要研究组织管理的规律和方法,"2025-07-10 15:00:00","2025-07-10 15:00:00"
12,艺术学,艺术学类专业主要研究艺术创作和艺术理论,"2025-07-10 15:00:00","2025-07-10 15:00:00"
13,军事学,军事学类专业主要研究国防和军队建设的理论与实践,"2025-07-10 15:00:00","2025-07-10 15:00:00"
